State,Provider Name,Address,City,Zip,Phone
CA,NORTHBAY HEALTH AT HOME                           ,"4520 BUSINESS CENTER DRIVE, SUITE 160                                                               ",FAIRFIELD           ,94534,7076463575
CA,BARTON HEALTHCARE SYSTEM HOME HEALTH              ,"2092 LAKE TAHOE BLVD, SUITE 500                                                                     ",SOUTH LAKE TAHOE    ,96150,5305423171
CA,RIDGECREST REGIONAL HOSPITAL HOME HEALTH AGENCY   ,1653 TRIANGLE DRIVE                                                                                 ,RIDGECREST          ,93555,7604460624
CA,WILSHIRE HOME HEALTH                              ,277 SOUTH ST STE W                                                                                  ,SAN LUIS OBISPO     ,93401,8057828600
CA,ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY        ,"980 TRANCAS ST, SUITE 9                                                                             ",NAPA                ,94558,7072574124
CA,ENLOE MEDICAL CENTER HOME HEALTH AGENCY           ,1390 E LASSEN AVE                                                                                   ,CHICO               ,95973,5303323161
CA,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC         ",1455 SOUTH  AUTO CENTER DRIVE STE 150                                                               ,ONTARIO             ,91761,9096057000
CA,BUTTE HOME HEALTH AND HOSPICE                     ,10 CONSTITUTION DRIVE                                                                               ,CHICO               ,95973,5308950462
CA,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE     ,"1316 CELESTE DRIVE, SUITE 140                                                                       ",MODESTO             ,95355,2095711055
CA,MERCY-MEMORIAL HOME HEALTH                        ,"1600 D STREET, SUITE 202                                                                            ",BAKERSFIELD         ,93301,6616325050
CA,SISKIYOU HOME HEALTH SERVICES                     ,700 S MAIN ST SUITE 2                                                                               ,YREKA               ,96097,5308427325
CA,ADVENTIST HEALTH HOME CARE SERVICES               ,9245 HIGHWAY 53                                                                                     ,LOWER LAKE          ,95457,7079940737
CA,"GUARDIAN ANGEL HOME CARE, INC                     ","320 COLLEGE AVE, SUITE 230                                                                          ",SANTA ROSA          ,95401,2482932400
CA,"WEST VALLEY HOME HEALTH CARE, INC                 ","17915 VENTURA BLVD, SUITE 200                                                                       ",ENCINO              ,91316,8183449844
CA,"VEROMA HOME HEALTH, INC                           ","17915 VENTURA BLVD, SUITE 210                                                                       ",ENCINO              ,91316,8184574453
CA,UNITED HOME HEALTH GROUP                          ,"1241 S GLENDALE AVE, SUITE 304C                                                                     ",GLENDALE            ,91205,8184059467
CA,"SOVEREIGN HOME HEALTH CARE AGENCY, INC            ","15707 EAST IMPERIAL HIGHWAY, SUITE D                                                                ",LA MIRADA           ,90638,5629434600
CA,PARAMOUNT HOME HEALTH CARE                        ,"11838 BERNARDO PLAZA COURT, SUITE 260A&B                                                            ",SAN DIEGO           ,92128,8584878778
CA,"EASE & COMFORT HOME HEALTH, INC                   ","644 WEST BROADWAY, SUITE 110                                                                        ",GLENDALE            ,91204,8182411200
CA,"DANNY'S HOME HEALTH CARE, INC                     ","411 N CENTRAL AVENUE, SUITE 350                                                                     ",GLENDALE            ,91203,8182461342
CA,GOLDEN HEARTS HOME HEALTH                         ,"7200 VINELAND AVE, SUITE 203                                                                        ",SUN VALLEY          ,91352,8182555364
CA,PRO HOME HEALTH                                   ,2350 W SHAW AVE STE 103                                                                             ,FRESNO              ,93711,5597538181
CA,ANGELICUM HOME HEALTH INC                         ,"9434 CHESAPEAKE DRIVE, UNIT 1203                                                                    ",SAN DIEGO           ,92123,8585255295
CA,SO CAL HHA                                        ,"11507 OXNARD STREET, UNIT 4                                                                         ",N HOLLYWOOD         ,91606,8185059500
CA,"EMIZA HOME HEALTH CARE, INC                       ","14549 ARCHWOOD STREET, SUITE 311                                                                    ",VAN NUYS            ,91405,8189468094
CA,"V & G HOME HEALTH, INC                            ","7220 WOODMAN AVE, SUITE 203                                                                         ",VAN NUYS            ,91405,8189048888
CA,"PRN HOME HEALTH, INC                              ","1241 S GLENDALE AVE, SUITE 301C                                                                     ",GLENDALE            ,91205,8186467677
CA,"MAXIM HEALTHCARE SERVICES, INC                    ","801 CORPORATE CENTER DRIVE, SUITE 210                                                               ",POMONA              ,91768,6269626453
CA,REMEDY HEALTH CARE SERVICES INC                   ,16689 FOOTHILL BLVD SUITE 204                                                                       ,FONTANA             ,92335,9097360052
CA,VINEYARD HOME HEALTHCARE LLC                      ,"9605 ARROW ROUTE, SUITE S                                                                           ",RANCHO CUCAMONGA    ,91730,9099870300
CA,A BETTER SOLUTION IN HOME CARE                    ,"3636 CAMINO DEL RIO NORTH, SUITE 100                                                                ",SAN DIEGO           ,92108,6195859011
CA,LIVINGSTON MEMORIAL VISITING NURSE ASSOCIATION    ,1996 EASTMAN AVE STE 101                                                                            ,VENTURA             ,93003,8056420239
CA,"MED-LIFE HOME HEALTH, INC                         ","1701 W BURBANK BLVD, SUITE 203                                                                      ",BURBANK             ,91506,8185690209
CA,"LIHA HOME HEALTH CARE, INC                        ","3200 WILSHIRE BLVD, SUITE 305, NORTH TOWER                                                          ",LOS ANGELES         ,90010,2133791363
CA,"MAXIM HEALTHCARE SERVICES, INC.                   ","1515 190TH ST, SUITE 300                                                                            ",GARDENA             ,90248,3103299115
CA,"K & K HOME HEALTH CARE, INC                       ","7728 FOOTHILL BLVD, SUITE B                                                                         ",TUJUNGA             ,91042,8183524747
CA,"PREMIER HEALTHCARE SERVICES, LLC                  ","10100 PIONEER BLVD, SUITE 125                                                                       ",SANTA FE SPRINGS    ,90670,4242331570
CA,MERIT HOME HEALTH SERVICES INC                    ,1003 COOLEY DRIVE SUITE 108                                                                         ,COLTON              ,92324,9098258767
CA,KAISER FOUNDATION HOSPITAL LOS ANGELES HHA        ,3699 WILSHIRE BLVD 3RD FLOOR                                                                        ,LOS ANGELES         ,90010,3237834375
